name	address
Ecole communale Jean-Rolland	Avenue de l'Enseignement 1, 7330 SAINT-GHISLAIN, Belgium
Ecole fondamentale annexée Saint-Ghislain	Avenue de l'Enseignement 20, 7330 SAINT-GHISLAIN, Belgium
Ecole fondamentale libre - Institut Saint-Joseph	Avenue de l'Enseignement 14, 7330 SAINT-GHISLAIN, Belgium
Groupe scolaire Grand Jardin	Les Jardins de l'Abbaye 60, 7330 SAINT-GHISLAIN, Belgium
Ecole communale de Douvrain	Rue Louis Caty 133, 7331 BAUDOUR, Belgium
Ecole fondamental libre La Sainte-Famille	Avenue Louis Goblet 222, 7331 BAUDOUR, Belgium
Groupe scolaire communal de Baudour	Parc Communal de Baudour ,, 7331 BAUDOUR, Belgium
Ecole fondamentale libre Saint-Amand	Rue du Salon 9, 7332 SIRAULT, Belgium
Groupe scolaire communal de Sirault	Rue Albert Bériot 57, 7332 SIRAULT, Belgium
Ecole fondamentale libre Saint-Joseph	Rue Defuisseaux 44, 7333 TERTRE, Belgium
Ecole fondamentale libre du Sacré-Coeur	Rue de l'Eglise 22, 7333 TERTRE, Belgium
Groupe scolaire communal fondamental de Tertre	Rue de Tournai 112, 7333 TERTRE, Belgium
Ecole fondamentale libre - Institut Saint-François d'Assise	Place d'Hautrage 6, 7334 HAUTRAGE, Belgium
Ecole communale A. Libiez - Quesnoy Groupe scolaire n°5	Rue Albert Libiez 57, 7340 COLFONTAINE, Belgium
Centre scolaire Saint-Michel de PATURAGES	Rue d'Orléans 12, 7340 PATURAGES, Belgium
Ecole communale Arthur Nazé-Alfred Busieau Groupe scolaire n°2	Rue du Grand Passage 124B, 7340 PATURAGES, Belgium
Ecole communale Cambry - Achille Delattre Abbaye Groupe scolaire n°3	Rue Lloyd George 63, 7340 WASMES, Belgium
Ecole communale Genin A Dieu Groupe scolaire n°4	Place Mosselman 2, 7340 WASMES, Belgium
Ecole communale Rampe Anfouette - Baille Cariotte - Groupe scolaire n°1	Rampe Anfouette 9, 7340 WASMES, Belgium
Ecole fondamentale libre Les Cèdres	Rue Traversière 72, 7340 WASMES, Belgium
Ecole fondamentale libre Saint-François	Ruelle Artus 2, 7340 WASMES, Belgium
Ecole fondamentale libre de Wasmes-Notre-Dame	Rue des Alliés 5, 7340 WASMES, Belgium
Ecole communale fondamentale	Rue des Ecoles 5, 7350 HENSIES, Belgium
Ecole communale fondamentale	Rue Ferrer ,, 7350 THULIN, Belgium
Ecole fondamentale libre	Rue du Couvent 1, 7350 THULIN, Belgium
Ecole communale de l'Athénée	Rue de l'Athénée 23, 7370 DOUR, Belgium
Ecole communale fondamentale de Moranfayt	Rue du Chêne Brûlé 84, 7370 DOUR, Belgium
Ecole communale fondamentale de Petit Dour	Rue Ropaix 40, 7370 DOUR, Belgium
Ecole fondamentale libre La Sainte-Union	Rue du Roi Albert 57, 7370 DOUR, Belgium
Ecole fondamentale libre Saint-Victor - Saint-Joseph	Rue Pairois 95, 7370 DOUR, Belgium
Ecole communale fondamentale d'Elouges	Rue Charles Wantiez 27, 7370 ELOUGES, Belgium
Ecole communale fondamentale de Wiheries	Rue de la Carrière 5, 7370 WIHERIES, Belgium
Ecole communale de Baisieux	Rue d'Angre 152, 7380 BAISIEUX, Belgium
Ecole communale fondamentale	Rue de la Gare 1B, 7380 QUIEVRAIN, Belgium
Ecole fondamentale libre Saint-Jean Bosco	Avenue du Vert Bocage 5, 7380 QUIEVRAIN, Belgium
La Ribambelle - Ecole fondamentale libre du Centre scolaire Don Bosco	Rue Grande 9, 7380 QUIEVRAIN, Belgium
Ecole communale fondamentale La Petite Honnelle	Place de Fayt 11, 7387 FAYT-LE-FRANC, Belgium
Ecole communale Emile Verhaeren	Rue Bourdon 4, 7387 ROISIN, Belgium
Ecole communale - Groupe scolaire 2	Rue Docteur Edmond Isaac 68, 7390 QUAREGNON, Belgium
Ecole communale - Groupe scolaire 3	Rue Achille Delattre 336, 7390 QUAREGNON, Belgium
Ecole communale - Groupe scolaire 4	Rue Louis de Brouckère 108, 7390 QUAREGNON, Belgium
Ecole communale - Groupe scolaire 5	Rue de l'Enseignement 2, 7390 QUAREGNON, Belgium
Ecole fondamentale communale - Groupe scolaire 1	Rue de l'Egalité 102, 7390 QUAREGNON, Belgium
Ecole fondamentale libre Notre-Dame	Rue Modeste Carlier 1, 7390 QUAREGNON, Belgium
Ecole fondamentale libre Sainte-Bernadette	Place du Sud 50, 7390 QUAREGNON, Belgium
Ecole fondamentale communale	Rue du Thy 3, 7870 LENS, Belgium
