name	address
COLLEGE TECHNIQUE SAINT-HENRI	Avenue Royale 50, 7700 MOUSCRON, Belgium
INSTITUT DES FRERES MARISTES	Rue des Etudiants 8, 7700 MOUSCRON, Belgium
INSTITUT DU SACRE-COEUR	Rue du Val 43, 7700 MOUSCRON, Belgium
INSTITUT COMMUNAL D'ENSEIGNEMENT TECHNIQUE	Rue de France 65, 7711 DOTTIGNIES, Belgium
INSTITUT SAINT-CHARLES	Place de la Résistance 10, 7711 DOTTIGNIES, Belgium
Ecole secondaire à pédagogie active	Rue de Menin 4B, 7730 ESTAIMPUIS, Belgium
ATHENEE ROYAL FERNAND JACQUEMIN	Chaussée de Warneton 26, 7780 COMINES-WARNETON, Belgium
COLLEGE DE LA LYS	Rue Romaine 40, 7780 COMINES-WARNETON, Belgium
INSTITUT SAINT-HENRI	Rue du Commerce 21, 7780 COMINES-WARNETON, Belgium
ATHENEE ROYAL ATH	Rue des Récollets 9, 7800 ATH, Belgium
COLLEGE SAINT-JULIEN	Rue de la Station 17, 7800 ATH, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE	Rue Paul Pastur 11, 7800 ATH, Belgium
INSTITUT SAINT-FRANCOIS DE SALES	Rue du Gouvernement 7, 7800 ATH, Belgium
INSTITUT TECHNIQUE	Boulevard du Château 12, 7800 ATH, Belgium
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE RENEE JOFFROY	Chaussée de Valenciennes 48, 7801 IRCHONWELZ, Belgium
ATHENEE ROYAL D'ENGHIEN	Rue Montgomery 73, 7850 ENGHIEN, Belgium
COLLEGE SAINT-AUGUSTIN	Chaussée d'Ath 1, 7850 MARCQ, Belgium
INSTITUT SAINT-AUGUSTIN	Chaussée d'Ath 1, 7850 MARCQ, Belgium
MAISON SAINT-AUGUSTIN (DOA)	Chaussée d'Ath 1, 7850 MARCQ, Belgium
ATHENEE ROYAL RENE MAGRITTE	Rue François Watterman 27, 7860 LESSINES, Belgium
COLLEGE VISITATION - LA BERLIERE	Parvis Saint-Pierre 13, 7860 LESSINES, Belgium
ATHENEE PROVINCIAL	Rue du Rempart 16, 7900 LEUZE-EN-HAINAUT, Belgium
COLLEGE SAINT-ELOI	Tour Saint-Pierre 11, 7900 LEUZE-EN-HAINAUT, Belgium
INSTITUT D'ENSEIGNEMENT TECHNIQUE SAINT-ELOI	Tour Saint-Pierre 11, 7900 LEUZE-EN-HAINAUT, Belgium
ATHENEE ROYAL LUCIENNE TELLIER	Chemin du Carnois 32A, 7910 ANVAING, Belgium
La Maison des Phénix - Ecole secondaire	Place Maurice Sébastien 8, 7940 BRUGELETTE, Belgium
